,Unnamed: 0,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
120239,1043702,150518666,2015-11-25,2015-11-24,730,5,Harbor,525,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0311 0329,47.0,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740.0,,,,500    BAYVIEW                      AV,,"(33.7752, -118.2699)"
94087,1216379,160124122,2016-09-25,2016-09-24,2200,1,Central,182,330,BURGLARY FROM VEHICLE,1302 1307 1609 0344,,X,X,101.0,STREET,,,IC,Invest Cont,330.0,,,,GRAND                        AV,PICO                         BL,"(34.0389, -118.2643)"
11754,1041694,150515081,2015-09-10,2015-09-10,1320,5,Harbor,515,624,BATTERY - SIMPLE ASSAULT,0444 0429 0416 1258 1251,12.0,F,H,720.0,JUNIOR HIGH SCHOOL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,624.0,,,,1700    GULF                         AV,,"(33.7969, -118.2743)"
28503,726124,131413331,2013-05-14,2013-04-16,1,14,Pacific,1415,354,THEFT OF IDENTITY,0929 1822,40.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,1000    INDIANA                      CT,,"(34.0028, -118.461)"
132237,807306,140214351,2014-07-19,2014-07-19,30,2,Rampart,247,210,ROBBERY,0416 0344 0420 0337,39.0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,UNION                        AV,6TH                          ST,"(34.0573, -118.2691)"
17715,477031,111804066,2011-01-02,2011-01-01,2000,18,Southeast,1839,310,BURGLARY,0344,59.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,10700    GORMAN                       AV,,"(33.9389, -118.2307)"
94410,1103932,151212090,2015-04-27,2015-04-24,1430,12,77th Street,1265,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1259 1251 0305 0445 0416 0429,15.0,M,H,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,,,,MANCHESTER                   AV,VERMONT                      AV,"(33.9601, -118.2919)"
81067,355549,110501549,2011-06-30,2011-06-30,100,5,Harbor,555,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1202,62.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740.0,,,,600 N  MEYLER                       ST,,"(33.7484, -118.2967)"
64725,657186,121600608,2012-02-11,2012-02-10,1530,16,Foothill,1602,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0344 1402,,M,X,403.0,DRUG STORE,,,IC,Invest Cont,442.0,998.0,,,12700    VAN NUYS                     BL,,"(34.2753, -118.4095)"
60649,333494,110216158,2011-08-25,2011-08-24,2300,2,Rampart,204,330,BURGLARY FROM VEHICLE,0344 0358 1307 1609,36.0,M,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,SANBORN,VENANGO,"(34.0902, -118.2818)"
156952,291805,101211363,2010-04-06,2010-04-06,20,12,77th Street,1204,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,36.0,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745.0,,,,1400 W  45TH                         ST,,"(34.0028, -118.3002)"
13169,1013881,150222524,2015-12-15,2015-12-15,525,2,Rampart,219,210,ROBBERY,0945 1402 0325 0432 0334 0319,14.0,M,W,403.0,DRUG STORE,511.0,VERBAL THREAT,IC,Invest Cont,210.0,998.0,,,1000 W  SUNSET                       BL,,"(34.0641, -118.248)"
45499,1512660,171709486,2017-04-14,2017-04-13,1740,17,Devonshire,1712,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1606,58.0,M,W,101.0,STREET,,,IC,Invest Cont,420.0,,,,11600    DORAL                        AV,,"(34.282, -118.55)"
139113,1219201,160200712,2016-04-24,2016-04-24,615,2,Rampart,281,121,"RAPE, FORCIBLE",0532 0536 0537 0522 0510 0515 1206 1820 1415,35.0,F,H,233.0,TATTOO PARLOR*,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121.0,998.0,,,2100 W  PICO                         BL,,"(34.0491, -118.2823)"
55482,989750,151013469,2015-08-16,2013-12-01,1200,10,West Valley,1063,354,THEFT OF IDENTITY,0928 1822,35.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,18300    VENTURA                      BL,,"(34.1667, -118.5308)"
32010,1041425,150514592,2015-08-29,2015-08-29,1,5,Harbor,514,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307,68.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,1300 W  DON                          ST,,"(33.7976, -118.2786)"
25352,637856,121408880,2012-03-09,2012-03-09,1400,14,Pacific,1436,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,86.0,F,W,108.0,PARKING LOT,,,IC,Invest Cont,440.0,,,,SEPULVEDA                    BL,PALMS,"(34.0181, -118.4213)"
10105,851044,140710359,2014-06-15,2014-06-05,1700,7,Wilshire,701,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,40.0,M,O,402.0,MARKET,,,IC,Invest Cont,341.0,,,,500 N  FAIRFAX                      AV,,"(34.0802, -118.3614)"
153457,12717,130215768,2013-07-12,2013-07-12,2350,2,Rampart,221,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0417 0416 1402,30.0,M,H,108.0,PARKING LOT,114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,AA,Adult Arrest,230.0,998.0,,,NORMANDIE                    AV,BEVERLY                      BL,"(34.0763, -118.3004)"
23095,854067,140715999,2014-11-05,2014-11-05,2130,7,Wilshire,738,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,60.0,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,745.0,,,,5000    WILSHIRE                     BL,,"(34.0621, -118.3385)"
118277,993603,160208393,2014-08-01,2014-08-01,1,2,Rampart,261,121,"RAPE, FORCIBLE",1259 0500 0522 0551 0537 0444 0527,12.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121.0,812.0,,,PARK VIEW,8TH                          ST,"(34.0563, -118.2809)"
150355,1221175,160208146,2016-03-19,2016-03-18,1621,2,Rampart,265,662,"BUNCO, GRAND THEFT",0342 0701 0800 0100 0432,43.0,F,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,662.0,,,,2100 W  7TH                          ST,,"(34.0565, -118.2768)"
7938,97492,101123215,2010-11-21,2010-11-20,2300,11,Northeast,1124,310,BURGLARY,0344,27.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,3000    WELDON                       AV,,"(34.1188, -118.2365)"
21695,795976,140107604,2014-02-22,2014-02-22,1230,1,Central,122,624,BATTERY - SIMPLE ASSAULT,1238 0416 1206,53.0,F,B,110.0,FREEWAY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,FIGUEROA                     ST,TEMPLE                       ST,"(34.0598, -118.2485)"
9188,1133825,151430933,2015-12-21,2015-11-16,1600,14,Pacific,1469,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,56.0,F,B,710.0,OTHER PREMISE,,,IC,Invest Cont,341.0,,,,5500 W  CENTINELA                    AV,,"(33.9771, -118.3768)"
34435,1004811,150127595,2015-12-14,2015-12-12,5,1,Central,123,210,ROBBERY,0344 0400,32.0,M,H,124.0,BUS STOP,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,BROADWAY,TEMPLE                       ST,"(34.0557, -118.2436)"
42634,813914,140308587,2014-03-22,2014-03-20,30,3,Southwest,397,310,BURGLARY,1606 0321 0344,49.0,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,4300    KENWOOD                      AV,,"(34.0055, -118.2991)"
72104,798682,140116069,2014-07-06,2014-07-06,1823,1,Central,144,624,BATTERY - SIMPLE ASSAULT,0416,42.0,M,W,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,400 S  SPRING                       ST,,"(34.0488, -118.2483)"
105113,409784,111109655,2011-04-19,2011-02-01,1500,11,Northeast,1162,237,CHILD NEGLECT (SEE 300 W.I.C.),1501,15.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,237.0,,,,1100 N  HOOVER                       ST,,"(34.0911, -118.2845)"
28436,442244,111413941,2011-05-02,2011-04-21,1000,14,Pacific,1454,354,THEFT OF IDENTITY,0377,45.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,4300    GLENCOE                      AV,,"(33.9873, -118.4403)"
83592,708260,122113593,2012-07-25,2012-07-25,600,21,Topanga,2157,510,VEHICLE - STOLEN,,11.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,6600    VARIEL                       AV,,"(34.1906, -118.5928)"
105595,383346,110807341,2011-03-16,2011-01-10,1200,8,West LA,882,649,DOCUMENT FORGERY / STOLEN FELONY,0924,47.0,F,H,602.0,BANK,,,IC,Invest Cont,649.0,,,,11300 W  OLYMPIC                      BL,,"(34.0382, -118.4412)"
65402,1117871,151313284,2015-06-18,2015-06-17,1815,13,Newton,1352,624,BATTERY - SIMPLE ASSAULT,1243 1813 0448 0419 2000 0416,26.0,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,626.0,,,4400    TOWNE                        AV,,"(34.0039, -118.2676)"
123756,1420440,162115020,2016-08-23,2016-08-23,843,21,Topanga,2156,330,BURGLARY FROM VEHICLE,1307 1609 0344,28.0,F,B,105.0,PEDESTRIAN OVERCROSSING,,,IC,Invest Cont,330.0,,,,6200    TOPANGA CANYON               BL,,"(34.1829, -118.6059)"
34443,546434,120411488,2012-06-28,2012-06-27,2350,4,Hollenbeck,415,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0416 0319 0421 0906,22.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,AA,Adult Arrest,930.0,,,,2500    HANCOCK                      ST,,"(34.0755, -118.2091)"
104922,1330425,161228983,2016-12-03,2016-12-03,1300,12,77th Street,1245,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0377 1202,73.0,M,B,101.0,STREET,,,IC,Invest Cont,440.0,,,,FLORENCE,VERMONT,"(33.9746, -118.2918)"
34559,1097159,151118028,2015-10-08,2015-10-08,100,11,Northeast,1173,330,BURGLARY FROM VEHICLE,0344,36.0,M,W,101.0,STREET,,,AA,Adult Arrest,330.0,,,,2200    LAKE SHORE                   AV,,"(34.0924, -118.2532)"
57633,62570,130809810,2013-05-25,2013-05-25,730,8,West LA,896,210,ROBBERY,,54.0,F,B,403.0,DRUG STORE,511.0,VERBAL THREAT,IC,Invest Cont,210.0,,,,9800    NATIONAL                     BL,,"(34.0314, -118.3998)"
131649,517519,120114806,2012-06-27,2012-06-21,1500,1,Central,166,310,BURGLARY,1607 0344,42.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,600 S  SAN PEDRO                    ST,,"(34.0423, -118.2452)"
41130,312126,101926460,2010-12-11,2010-12-06,900,19,Mission,1902,510,VEHICLE - STOLEN,,,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,14400    FOOTHILL                     BL,,"(34.321, -118.4478)"
142645,741,130104118,2013-01-02,2013-01-02,1805,1,Central,192,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0327 0329 0601 1402,,M,W,108.0,PARKING LOT,,,IC,Invest Cont,740.0,998.0,,,HOPE,PICO,"(34.0391, -118.2659)"
110264,557580,120518281,2012-10-26,2012-10-25,1900,5,Harbor,585,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1300 1202,75.0,F,W,104.0,DRIVEWAY,,,IC,Invest Cont,420.0,,,,900 W  20TH                         ST,,"(33.7261, -118.2968)"
72795,960640,141905659,2014-01-31,2013-12-16,1100,19,Mission,1918,624,BATTERY - SIMPLE ASSAULT,0416 1810,18.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,13500    GRIDLEY                      ST,,"(34.3034, -118.4271)"
111223,1332575,161306053,2016-02-06,2016-02-05,2045,13,Newton,1373,510,VEHICLE - STOLEN,,15.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,5400 S  CENTRAL                      AV,,"(33.9925, -118.2608)"
157590,1226704,160220121,2016-11-09,2016-11-07,300,2,Rampart,212,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,44.0,M,O,517.0,,,,IC,Invest Cont,440.0,,,,300 N  MADISON                      AV,,"(34.0764, -118.2892)"
90692,260761,100629702,2010-12-14,2010-12-14,850,6,Hollywood,668,946,OTHER MISCELLANEOUS CRIME,1402,30.0,M,A,109.0,PARK/PLAYGROUND,,,AA,Adult Arrest,946.0,998.0,,,5500    LEXINGTON                    AV,,"(34.0928, -118.3092)"
108315,1096563,151116891,2015-09-14,2015-09-13,1700,11,Northeast,1135,330,BURGLARY FROM VEHICLE,0344,28.0,F,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,3900    EAGLE ROCK                   BL,,"(34.1194, -118.2304)"
154779,1178931,151915869,2015-08-04,2015-08-04,1720,19,Mission,1982,920,KIDNAPPING - GRAND ATTEMPT,0340 0319 1312 0359,23.0,M,H,101.0,STREET,511.0,VERBAL THREAT,IC,Invest Cont,920.0,,,,PARTHENIA,SEPULVEDA,"(34.2283, -118.4677)"
80323,908943,141316000,2014-08-04,2014-08-03,1300,13,Newton,1365,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,18.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,1300 E  45TH                         ST,,"(34.003, -118.2521)"
43891,77100,131005382,2013-02-01,2013-01-27,1030,10,West Valley,1061,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,39.0,M,O,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,5500    SYLVIA                       AV,,"(34.1709, -118.5523)"
78277,1554608,170318394,2017-08-01,2017-07-26,1845,3,Southwest,395,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 1822 0416 0216,28.0,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,,,,1900 W  41ST                         ST,,"(34.0099, -118.3138)"
65157,1544221,171218976,2017-07-26,2017-07-26,300,12,77th Street,1258,210,ROBBERY,0344 0417 0416 0429,48.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,76TH,BROADWAY,"(33.9708, -118.2783)"
113787,71917,130913641,2013-07-15,2013-07-15,1515,9,Van Nuys,914,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,23.0,M,H,402.0,MARKET,,,AA,Adult Arrest,440.0,,,,7100    SEPULVEDA                    BL,,"(34.1994, -118.4662)"
28385,1247801,160414683,2016-09-05,2016-09-04,2005,4,Hollenbeck,408,946,OTHER MISCELLANEOUS CRIME,0344,20.0,M,H,210.0,RESTAURANT/FAST FOOD,,,AA,Adult Arrest,946.0,,,,ROSEMEAD                     AV,HUNTINGTON D,"(34.0887, -118.1785)"
140559,933458,141522382,2014-12-22,2014-12-21,2330,15,N Hollywood,1583,330,BURGLARY FROM VEHICLE,0344 1609 1307,25.0,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,4300    LAUREL CANYON                BL,,"(34.1486, -118.3965)"
77380,884758,141112288,2014-06-23,2014-06-18,1200,11,Northeast,1171,354,THEFT OF IDENTITY,1822,31.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,1400    MICHELTORENA                 ST,,"(34.0875, -118.2758)"
15957,903699,141227644,2014-12-30,2014-12-28,2123,12,77th Street,1239,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1212 1501 0450 1419 1310,13.0,M,O,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230.0,,,,6100 S  HOOVER                       ST,,"(33.9844, -118.287)"
14635,100211,101207359,2010-02-14,2010-02-13,1140,12,77th Street,1258,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 0416 0417 0429 0913,19.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,,,,73RD                         ST,MAIN,"(33.9739, -118.2739)"
51412,129053,101420455,2010-09-08,2010-09-08,1000,14,Pacific,1412,624,BATTERY - SIMPLE ASSAULT,0400,33.0,M,W,210.0,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,00    ROSE                         AV,,"(33.9947, -118.4805)"
3272,715484,131109465,2013-04-17,2012-11-01,800,11,Northeast,1133,624,BATTERY - SIMPLE ASSAULT,0555 0416 0446 0432,31.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,3100    LACLEDE                      AV,,"(34.1124, -118.2492)"
17048,278466,100907174,2010-02-27,2010-02-27,1435,9,Van Nuys,906,888,TRESPASSING,0906 1402,,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,888.0,998.0,,,14400    VALERIO                      ST,,"(34.2048, -118.4468)"
64330,1486,130105632,2013-01-29,2013-01-28,1100,1,Central,185,664,"BUNCO, PETTY THEFT",0344,19.0,F,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,664.0,,,,1200    MAPLE                        AV,,"(34.0357, -118.2563)"
89086,326823,110118355,2011-10-14,2011-10-13,1510,1,Central,111,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0202 0344 1202,61.0,M,O,102.0,SIDEWALK,,,IC,Invest Cont,341.0,,,,800 N  SPRING                       ST,,"(34.0619, -118.2369)"
126790,217544,100211133,2010-05-08,2010-04-24,30,2,Rampart,204,956,"LETTERS, LEWD",0432,35.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956.0,,,,1400    LUCILE                       AV,,"(34.0885, -118.2804)"
62616,211050,100112994,2010-06-26,2010-06-26,1435,1,Central,111,946,OTHER MISCELLANEOUS CRIME,1402,,M,H,102.0,SIDEWALK,,,AA,Adult Arrest,946.0,998.0,,,900 N  BROADWAY,,"(34.064, -118.2375)"
83539,516990,120113484,2012-06-07,2012-06-06,1400,1,Central,152,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0601 0329,53.0,M,W,738.0,LIBRARY,,,IC,Invest Cont,740.0,,,,600 W  5TH                          ST,,"(34.0502, -118.254)"
9670,785954,132100888,2013-10-31,2013-10-30,2130,21,Topanga,2156,440,THEFT PLAIN - PETTY ($950 & UNDER),0325,,M,W,404.0,DEPARTMENT STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,440.0,,,,21900    VANOWEN                      ST,,"(34.1938, -118.6044)"
151031,1081955,151006751,2015-03-10,2015-03-09,1900,10,West Valley,1017,510,VEHICLE - STOLEN,,14.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,7200    CALDUS                       AV,,"(34.2013, -118.5158)"
31829,966568,141918800,2014-09-11,2014-09-10,2000,19,Mission,1988,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1300,33.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,13500    WENTWORTH                    ST,,"(34.226, -118.4265)"
56096,1282770,160812079,2016-06-23,2016-06-20,5,8,West LA,823,354,THEFT OF IDENTITY,1202 0100 0935,71.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,700    HAVERFORD                    AV,,"(34.0429, -118.5295)"
117062,213112,100118700,2010-10-14,2010-10-14,2310,1,Central,153,624,BATTERY - SIMPLE ASSAULT,0416,31.0,M,H,503.0,HOTEL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,500 S  SPRING                       ST,,"(34.0474, -118.2496)"
98444,816954,140313939,2014-06-17,2014-05-23,1400,3,Southwest,379,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,26.0,F,H,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,341.0,,,,1000 W  MARTIN LUTHER KING JR        BL,,"(34.0109, -118.2915)"
131084,813860,140308419,2014-03-20,2014-03-06,1200,3,Southwest,312,354,THEFT OF IDENTITY,0377 0931 1822,47.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,2700 S  CLOVERDALE                   AV,,"(34.0304, -118.3582)"
82322,347833,110325728,2011-12-01,2011-12-01,130,3,Southwest,393,510,VEHICLE - STOLEN,,10.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,3400 W  41ST                         ST,,"(34.0101, -118.3314)"
98521,526600,120216123,2012-08-12,2012-08-12,2100,2,Rampart,215,900,VIOLATION OF COURT ORDER,0358 2000,29.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,900.0,,,,400 N  CORONADO                     ST,,"(34.0732, -118.2728)"
96132,1517477,171809322,2017-04-05,2017-04-04,2215,18,Southeast,1844,310,BURGLARY,0329 0344 0216 1609 0321,23.0,F,H,210.0,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,310.0,,,,600 E  IMPERIAL                     HY,,"(33.9345, -118.2623)"
120358,326164,110116538,2011-09-08,2011-09-08,1230,1,Central,166,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,53.0,M,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,600    SAN JULIAN                   ST,,"(34.0428, -118.2461)"
63688,627193,121300753,2012-06-29,2012-06-29,1650,13,Newton,1367,910,KIDNAPPING,0302 0334 0552 0913 1251 1258 1309 0418,,F,H,501.0,SINGLE FAMILY DWELLING,102.0,HAND GUN,AA,Adult Arrest,910.0,,,,1500 E  45TH                         ST,,"(34.0027, -118.2478)"
136225,564605,120619112,2012-07-24,2012-07-09,800,6,Hollywood,628,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,39.0,F,W,108.0,PARKING LOT,,,IC,Invest Cont,440.0,,,,5900    FRANKLIN                     AV,,"(34.1053, -118.318)"
95185,1554682,170318697,2017-08-08,2017-08-07,1700,3,Southwest,397,510,VEHICLE - STOLEN,,16.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,4300    DALTON                       AV,,"(34.0053, -118.3034)"
27638,243805,100502023,2010-08-01,2010-08-01,1330,5,Harbor,532,626,INTIMATE PARTNER - SIMPLE ASSAULT,0408 0416 0417 2000,40.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,1200    RONAN                        AV,,"(33.7865, -118.2726)"
85016,927177,141510597,2014-05-07,2014-05-06,1244,15,N Hollywood,1535,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 0701,36.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,11400    CALIFA                       ST,,"(34.1776, -118.379)"
157951,1316370,161120970,2016-12-22,2016-12-22,2220,11,Northeast,1162,510,VEHICLE - STOLEN,,15.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,4600 W  SUNSET                       BL,,"(34.0982, -118.2895)"
73108,985138,142117178,2014-10-20,2014-10-20,1545,21,Topanga,2104,624,BATTERY - SIMPLE ASSAULT,0444 0416,65.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,8900    OWENSMOUTH                   AV,,"(34.2315, -118.6016)"
135839,834782,140511282,2014-06-25,2014-05-15,1200,5,Harbor,558,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,57.0,F,B,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,341.0,,,,500    HARKER                       ST,,"(33.7469, -118.2868)"
87473,571694,120710098,2012-05-23,2012-05-21,2100,7,Wilshire,749,330,BURGLARY FROM VEHICLE,0344 1609,30.0,M,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,800 S  PLYMOUTH                     BL,,"(34.0598, -118.3238)"
34153,1570834,171613562,2017-08-25,2017-08-25,1830,16,Foothill,1684,626,INTIMATE PARTNER - SIMPLE ASSAULT,0447 1814 2000,35.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,STRATHERN,LANKERSHIM,"(34.2158, -118.3878)"
23619,1363841,161522244,2016-11-28,2016-11-28,130,15,N Hollywood,1502,310,BURGLARY,0344 0314,52.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,12700    RATNER                       ST,,"(34.2174, -118.41)"
31825,701414,122017504,2012-09-27,2012-08-20,1200,20,Olympic,2053,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 1900,44.0,F,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,1000 S  HOBART                       BL,,"(34.0526, -118.3052)"
141148,479177,111808949,2011-03-28,2011-03-28,1200,18,Southeast,1862,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0442 0906,21.0,F,B,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,AA,Adult Arrest,930.0,,,,300 W  119TH                        ST,,"(33.9247, -118.2782)"
